SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:51:07 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 09:56:11 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-04-30 10:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:37:33 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:30:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:40:05 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:35:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:45:10 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:40:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:50:15 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 11:55:19 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-04-30 12:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:00:23 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 12:55:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:05:28 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:00:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:10:32 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:05:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:15:36 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:10:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:20:41 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:15:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:25:45 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:20:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:30:49 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:25:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:35:53 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:30:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:40:58 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:35:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:46:02 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:40:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:51:07 | sygnal=BUY | numer_scenariusza=SC9 | godzina_brokera=2026-04-30 13:45:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 12:56:11 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:50:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 13:01:15 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 13:55:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 13:06:20 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 14:00:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 13:11:24 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 14:05:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 13:16:29 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 14:10:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 13:21:33 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 14:15:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 13:26:37 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 14:20:00
SCENARIUSZ HIT | symbol=US30 | data_godzina=2026-04-30 13:31:41 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-04-30 14:25:00
