AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 08:40:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 07:46:22 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 08:45:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 07:51:26 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 08:50:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 07:56:29 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 08:55:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:01:34 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:00:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:06:37 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:05:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:11:42 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:10:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:16:46 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:15:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:21:50 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:20:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:26:55 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
AUDYT_SYGNALU | produkt=US30 | event=OPEN_SIGNAL | sygnal=BUY | godzina_brokera=2026-04-13 09:25:00 | scenariusz_otwarcia=SC3 | scenariusz_zamkniecia=BRAK | data_godzina_lokalna=2026-04-13 08:31:59 | warunki=SC3 BUY (ICHI+MCAD, relaxed) | PERIOD=M5; LIMITS={'strict': 20, 'medium': 35, 'relaxed': 50}; ADX_BUY=True; ADX_SELL=False; ADX_INC=True; ADX_DEC=False; MCAD_BUY=True; MCAD_SELL=False; MCAD_FRESH=True; ICHI_BUY=True; ICHI_SELL=False; BUY_WINDOW_MIN=40.0; SELL_WINDOW_MIN=None
