SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 11:50:20 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 12:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 11:55:25 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 12:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:15:46 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:20:52 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:25:57 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:31:02 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 13:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:36:08 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 13:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:41:14 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 13:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 12:56:29 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 13:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 13:01:34 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 13:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 13:06:39 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 14:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 13:11:44 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 14:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 13:16:49 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 14:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 13:21:54 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 14:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 13:26:59 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 14:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 13:32:04 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-13 14:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:20:23 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:25:30 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:20:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:30:35 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:25:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:35:40 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:30:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:40:45 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:35:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:45:50 | sygnal=SELL | numer_scenariusza=SC5 | godzina_brokera=2026-05-13 15:40:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:50:55 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:45:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 14:56:00 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:50:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 15:01:05 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 15:55:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 15:06:10 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 16:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 15:11:17 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-13 16:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 17:06:38 | sygnal=BUY | numer_scenariusza=SC12 | godzina_brokera=2026-05-13 18:00:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 17:11:44 | sygnal=BUY | numer_scenariusza=SC12 | godzina_brokera=2026-05-13 18:05:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 17:16:49 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 18:10:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 17:21:55 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 18:15:00
SCENARIUSZ HIT | symbol=US500 | data_godzina=2026-05-13 17:27:00 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 18:20:00
