SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 18:50:56 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 18:56:01 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:50:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:01:07 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 19:55:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:06:12 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 20:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:11:17 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 20:05:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:16:22 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 20:10:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:21:27 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 20:15:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:26:32 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 20:20:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:31:37 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 20:25:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-13 19:36:43 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-13 20:30:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 02:06:21 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 03:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 02:11:26 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 03:05:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 02:52:03 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 03:45:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 02:57:08 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 03:50:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 03:02:12 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 03:55:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 03:07:17 | sygnal=BUY | numer_scenariusza=SC10 | godzina_brokera=2026-05-14 04:00:00
SCENARIUSZ HIT | symbol=DE40 | data_godzina=2026-05-14 03:40:17 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 04:35:00
