SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 16:07:28 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 17:00:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 16:10:01 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 17:05:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-13 16:15:06 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-13 17:10:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 01:35:54 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 02:30:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 01:40:59 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 02:35:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 01:56:12 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 02:50:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 02:01:16 | sygnal=BUY | numer_scenariusza=SC1 | godzina_brokera=2026-05-14 02:55:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:10:46 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:05:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:15:51 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:10:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:20:55 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:15:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:25:59 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:20:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:31:04 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:25:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:36:08 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:30:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:41:13 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:35:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:46:18 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:40:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:51:23 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:45:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 04:56:27 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:50:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 05:01:32 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 05:55:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 05:06:36 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 06:00:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 05:11:40 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 06:05:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 05:16:45 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 06:10:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 05:21:49 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 06:15:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 05:26:54 | sygnal=SELL | numer_scenariusza=SC6 | godzina_brokera=2026-05-14 06:20:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:15:41 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:10:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:20:46 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:15:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:25:50 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:20:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:30:55 | sygnal=BUY | numer_scenariusza=SC12 | godzina_brokera=2026-05-14 13:25:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:35:59 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:30:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:41:04 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:35:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:46:09 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:40:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:51:13 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:45:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 12:56:18 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:50:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:01:23 | sygnal=BUY | numer_scenariusza=SC3 | godzina_brokera=2026-05-14 13:55:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:06:27 | sygnal=BUY | numer_scenariusza=SC12 | godzina_brokera=2026-05-14 14:00:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:11:32 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:05:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:16:36 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:10:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:21:41 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:15:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:26:45 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:20:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:31:50 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:25:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:36:55 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:30:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 13:41:59 | sygnal=BUY | numer_scenariusza=SC2 | godzina_brokera=2026-05-14 14:35:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 15:00:40 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 15:55:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 15:05:44 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 16:00:00
SCENARIUSZ HIT | symbol=JP225 | data_godzina=2026-05-14 15:10:49 | sygnal=SELL | numer_scenariusza=SC7 | godzina_brokera=2026-05-14 16:05:00
